NU_INSCRICAO,NU_ANO,COD_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,COD_UF_RESIDENCIA,UF_RESIDENCIA,IN_ESTUDA_CLASSE_HOSPITALAR,COD_ESCOLA,COD_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,COD_UF_ESC,UF_ESC,ID_DEPENDENCIA_ADM_ESC,ID_LOCALIZACAO_ESC,SIT_FUNC_ESC,IDADE,TP_SEXO,NACIONALIDADE,COD_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,COD_UF_NASCIMENTO,UF_NASCIMENTO,ST_CONCLUSAO,ANO_CONCLUIU,TP_ESCOLA,IN_TP_ENSINO,TP_ESTADO_CIVIL,TP_COR_RACA,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_AUTISMO,IN_SABATISTA,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_CERTIFICADO,NO_ENTIDADE_CERTIFICACAO,COD_UF_ENTIDADE_CERTIFICACAO,UF_ENTIDADE_CERTIFICACAO,COD_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,COD_UF_PROVA,UF_PROVA,IN_PRESENCA_CN,IN_PRESENCA_CH,IN_PRESENCA_LC,IN_PRESENCA_MT,ID_PROVA_CN,ID_PROVA_CH,ID_PROVA_LC,ID_PROVA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,GABARITO_CN,GABARITO_CH,GABARITO_LC,GABARITO_MT,IN_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q029,Q030,Q031,Q032,Q033,Q034,Q035,Q036,Q037,Q038,Q039,Q040,Q041,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050,Q051,Q052,Q053,Q054,Q055,Q056,Q057,Q058,Q059,Q060,Q061,Q062,Q063,Q064,Q065,Q066,Q067,Q068,Q069,Q070,Q071,Q072,Q073,Q074,Q075,Q076
140000000001,2014,3548708,SAO BERNARDO DO CAMPO,35,SP,0,,,,,,,,,18,F,1,2603801,CAPOEIRAS,26,PE,1,2013,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3548708,SAO BERNARDO DO CAMPO,35,SP,1,1,1,1,199,195,203,207,536.9,570.2,576.1,478.3,EABDEADABDECBDEEADEDBCEBDEABEADCDCDBBEADBADEC,BCBDAAADCAAEEBACACCAAEBAAEBEBCAEBCADBEAACCDAA,CADCCBCBCDCBDBCEBDEBCAAEACCDBDEAABBEABAEBBBAE,ABAAECBBCABECDBBECAEDEADDAEACCABCDCBACEADBBDA,0,ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC,ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA,CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD,DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA,7,120,120,120,120,80,560,B,E,E,4,A,B,C,B,A,A,A,A,A,D,A,A,A,A,A,D,B,A,3,4,4,5,4,5,3,B,A,A,B,A,A,A,A,B,B,15,E,5,0,4,4,5,B,A,B,A,A,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000002,2014,3118601,CONTAGEM,31,MG,0,,,,,,,,,24,M,1,3106200,BELO HORIZONTE,31,MG,4,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SECRETARIA DE ESTADO DE EDUCAÇÃO DE MINAS GERAIS,31,MG,3118601,CONTAGEM,31,MG,1,1,1,1,199,195,203,207,458.2,519.5,525.8,484.2,DACBCAACDCCDEECBACEEAEDADACADECEDBCCACEBABCDB,ECCBDBDDBCBCBBCCACCCBCCDCDEDBCBDCCDEDBACCDEBC,BDECDBCBEDBDEBCADDEDECDBDBCDCDDDAABCCCABBABDB,EBCCEDEEBADACDEBDADCBEBCCDADDBCBCDCABDECCCDBE,1,ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC,ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA,CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD,DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA,7,60,40,40,40,60,240,E,C,C,10,C,B,A,A,A,A,A,A,A,D,D,C,D,D,D,D,A,A,5,4,,5,5,5,5,D,A,A,F,B,A,A,A,B,A,16,E,5,5,4,4,1,A,B,B,B,A,B,A,B,,,,,,,,,,A,B,B,B,B,B,A,B,B,B,B,B,D
140000000003,2014,3550308,SAO PAULO,35,SP,0,,,,,,,,,19,M,1,3550308,SAO PAULO,35,SP,1,2012,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3550308,SAO PAULO,35,SP,1,1,1,1,202,198,203,207,575.9,634.7,541.5,617.6,BADBCEDCBEBDEDECCBBEAAAADAEDDCEDEDCDDCBCDBDEC,ACCDEAABBACBABCEDCAAEDEADECCAEDECBBACCBABBCCE,AEEDABCBEDCCEBCADDCADCAEACDDADEDAABCAEAABDCAD,ACCDEEBB.DCBBDBBEABCECADACDBACEDACCDCCDBDCBDA,1,AEABEDEABEBCBEECCBDEDEADADBDCDCDABCDDAABDBCBD,AABBEAADEADBABCEDBDADDEECECCEADECBDBACBCABCCE,CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD,DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA,7,120,120,120,120,120,600,C,H,K,4,D,B,B,A,C,B,D,A,A,A,A,C,A,A,A,D,A,A,5,3,,5,5,5,4,B,A,A,B,A,A,A,A,A,A,16,D,3,0,5,5,5,B,A,B,B,A,B,A,,,,,,,,,,,,,,,,,,,,,,,
140000000004,2014,3550308,SAO PAULO,35,SP,0,,,,,,,,,18,F,1,3550308,SAO PAULO,35,SP,1,2013,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3550308,SAO PAULO,35,SP,1,1,1,1,200,196,206,210,482.6,475.8,499.7,381.3,DBDACEADCEECBCBDCBDDECEECCABCBECBCECACABCEDCC,AABEDCEBACADDCECEDAACEEEDAABBDBCEDADDEBDBAAEC,DABADCECCCAEDCCEDABCAECABDCBCBEEBEACDBEBDECCD,DCECCCCEADBBCCDCABADCDCDDCADDCECADACDCAEBBDEB,1,DAEDCDCAEABDBCBDEADCDBEBCBDCBEECABDABADBDEDEA,AADEAABBEADBABBDADBCCEECCEDECBCABDBACCEDEADEC,CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB,DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB,7,160,120,120,140,100,640,C,C,C,5,A,B,A,A,A,D,A,D,A,D,A,B,D,D,D,D,A,A,4,4,,2,2,5,5,B,A,A,B,A,A,A,A,A,A,13,E,5,2,3,5,5,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000005,2014,2933307,VITORIA DA CONQUISTA,29,BA,0,,,,,,,,,45,M,1,2933307,VITORIA DA CONQUISTA,29,BA,1,2004,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2933307,VITORIA DA CONQUISTA,29,BA,1,1,1,1,199,195,206,210,612.6,700.7,596.5,648.2,DDADEDDEACDBBCDBAEEEDAEEAAACABCEDEEBACCDEAECD,EBAAADADECAABBACBCCEAEBADDEEBAADBCBDCABABABCA,EEDADBECDCBCBCCEDCDBDCDDBDCBEBCEDABCEBDBABBAC,DDCEEBCCECAEEDCCCBCEAACACEDDEEDDCCCCEABAEE.BB,1,ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC,ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA,CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB,DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB,7,160,120,120,160,20,580,B,E,F,4,A,B,B,A,A,B,A,A,A,D,D,B,A,A,D,D,B,A,5,4,,5,5,4,0,A,A,C,B,A,C,B,A,B,A,18,D,5,5,5,5,5,B,A,A,B,A,A,B,,,,,,,,,,,,,,,,,,,,,,,
140000000006,2014,3302007,ITAGUAI,33,RJ,0,,,,,,,,,34,F,1,3302007,ITAGUAI,33,RJ,1,2004,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3302007,ITAGUAI,33,RJ,1,1,1,1,199,195,204,208,552.7,587.3,538.7,489.3,DAABEEDABDDCBDBEAAEABCEECEADDCCBEEEEDADEEBBCD,EBAAAEADBCAADBDECCCEAEBACAEEBBADDABBDEECACEBA,BAEDDBAADEACEDEABEBCBAEBBCCAEDCBEAACDDADCDCEC,CACCDEBBCACBBDBCDAAADEBCABDCACBAAAABBBEDACCBB,0,ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC,ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA,ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC,CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC,7,120,120,80,120,100,540,B,C,C,3,A,B,A,A,D,A,D,A,A,D,A,A,D,D,A,D,A,B,4,5,,5,1,5,5,B,A,A,B,A,A,A,B,B,A,18,E,5,5,5,5,5,A,A,A,A,A,B,A,,,,,,,,,,,,,,,,,,,,,,,
140000000007,2014,4106902,CURITIBA,41,PR,0,,,,,,,,,21,M,1,1504208,MARABA,15,PA,1,2009,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3509502,CAMPINAS,35,SP,1,1,1,1,200,196,204,208,595.9,680.4,604.8,660.4,EAECBCBCADAEBBDEEABCDEEBCADCEDCDBEDABEDBDCADA,AADEAAEBCAEBABCDACBCCEEECADEBEEABDBACCEDBADEC,DECEABEADDBDCBDCBECCBEDABACCEBDEBABBDDDDCBCBC,CDCECDDABDBBADABCCBBDCBDDCBDBABCABACBDECBEDBC,1,DAEDCDCAEABDBCBDEADCDBEBCBDCBEECABDABADBDEDEA,AADEAABBEADBABBDADBCCEECCEDECBCABDBACCEDEADEC,ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC,CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC,7,120,120,120,120,120,600,I,D,C,3,C,B,A,A,A,A,D,D,A,D,D,B,A,D,D,D,A,B,5,3,,5,5,5,3,B,A,A,B,A,A,A,A,B,B,18,D,5,5,5,5,5,A,B,A,B,A,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000008,2014,2307304,JUAZEIRO DO NORTE,23,CE,0,,,,,,,,,39,M,1,2307304,JUAZEIRO DO NORTE,23,CE,1,2004,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2307304,JUAZEIRO DO NORTE,23,CE,1,1,1,1,199,195,204,208,581.5,597,535.7,516.1,DCEDDADECCDECACEACDCEECECBCDDBCCDDCCBCCDCDCCC,EBADACBBECAAABCCECCDACBCDEEEDCDBCCEDECBDDCBAA,CDECBCBEDDBCDBEBBEBBBEECCDCDEDDEEACDDCCDADCEE,CDEBDEBAEBDBDDBEDCBBCCCBEABCBCBACDDCCDBDCDBBC,0,ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC,ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA,ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC,CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC,7,120,120,120,120,60,540,B,B,C,1,A,B,A,A,A,A,A,D,A,D,A,A,A,D,D,D,A,B,5,5,,5,5,5,5,B,A,A,B,A,A,A,A,B,A,18,E,3,5,5,5,5,B,A,B,B,A,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000009,2014,3103504,ARAGUARI,31,MG,0,,,,,,,,,19,M,1,3103504,ARAGUARI,31,MG,1,2012,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3103504,ARAGUARI,31,MG,1,1,1,1,199,195,203,207,518.8,569.8,561,623.2,DEDDEACDCBDABADEADCEDAEEBEEAABABCBDEECCDBAECE,ECEDACADBCAACBBCBCCBDCADDDBBADEDBCBADCEADDEEC,BEDACBCACDCBEDAEBABBDCABDACEBDBDABBACDDDDEADD,DACEECABBECAEDABAAECECCBADEBAECECCADABDBCCCED,1,ADBDDADABCDCBDCBEECABAEEDEADDBCBDBEBABEDEACDC,ECBDADADECAABBECBCCEADBABDEECAADECEDCEBDBABCA,CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD,DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA,7,140,140,120,120,120,640,E,G,F,3,D,B,B,A,A,B,A,A,A,A,A,C,B,D,D,D,C,C,5,5,,5,5,5,5,B,,,B,,,A,A,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140000000010,2014,3550308,SAO PAULO,35,SP,0,,,,,,,,,38,M,1,3550308,SAO PAULO,35,SP,1,2004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3550308,SAO PAULO,35,SP,1,1,0,0,201,197,203,207,506.8,650.9,,,EBCCCCCDDEAADCECADBBCBCDAACCBEBAAEEEABDEAEEBE,BDECECBCCECAEBBEBEBAABAAECEDBBAEDECDADBBEAACE,.............................................,.............................................,1,EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA,ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE,,,6,0,0,0,0,0,0,I,E,C,2,D,B,A,D,A,A,D,A,A,D,D,A,A,D,D,D,A,B,0,0,,3,5,5,0,C,A,A,B,A,A,A,B,B,A,18,B,0,0,5,5,5,B,B,A,B,A,B,B,,,,,,,,,,,,,,,,,,,,,,,
