NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;IDADE;TP_SEXO;ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;IN_TP_ENSINO;TP_COR_RACA;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NU_NOTA_REDACAO;Q003
140000000001;2014;SAO BERNARDO DO CAMPO;SP;18;F;1;2013;1;1;1;536.9;570.2;576.1;478.3;560;E
140000000002;2014;CONTAGEM;MG;24;M;4;;;;2;458.2;519.5;525.8;484.2;240;C
140000000003;2014;SAO PAULO;SP;19;M;1;2012;1;1;2;575.9;634.7;541.5;617.6;600;K
140000000004;2014;SAO PAULO;SP;18;F;1;2013;1;1;1;482.6;475.8;499.7;381.3;640;C
140000000005;2014;VITORIA DA CONQUISTA;BA;45;M;1;2004;2;1;1;612.6;700.7;596.5;648.2;580;F
140000000006;2014;ITAGUAI;RJ;34;F;1;2004;1;1;3;552.7;587.3;538.7;489.3;540;C
140000000007;2014;CURITIBA;PR;21;M;1;2009;1;1;3;595.9;680.4;604.8;660.4;600;C
140000000008;2014;JUAZEIRO DO NORTE;CE;39;M;1;2004;1;1;1;581.5;597;535.7;516.1;540;C
140000000009;2014;ARAGUARI;MG;19;M;1;2012;1;1;1;518.8;569.8;561;623.2;640;F
140000000010;2014;SAO PAULO;SP;38;M;1;2004;1;1;1;506.8;650.9;;;0;C
140000000011;2014;BRASILIA;DF;22;F;1;2010;2;1;1;657;693.5;647.4;660.6;720;H
140000000012;2014;PELOTAS;RS;24;F;1;2007;1;1;1;448.9;556.8;549.1;545;500;E
140000000013;2014;RIO DE JANEIRO;RJ;20;F;1;2012;1;1;1;503.3;619;553.2;568.3;520;B
140000000014;2014;TERESINA;PI;48;M;1;2004;2;1;3;;;;;0;H
140000000015;2014;RIO GRANDE;RS;34;F;1;2004;1;2;2;;;;;0;C
140000000016;2014;SALVADOR;BA;32;F;1;2013;1;2;3;416.9;452.8;452.9;0;0;C
140000000017;2014;CAMPO GRANDE;MS;25;F;1;2006;1;1;3;404.9;556.9;561.3;448.8;600;C
140000000018;2014;JUAZEIRO;BA;27;M;1;2006;2;1;0;675.3;646.8;566.5;869;820;E
140000000019;2014;LONDRINA;PR;37;F;1;2004;1;1;1;;;;;0;F
140000000020;2014;CURITIBA;PR;20;M;1;2012;1;1;1;354.7;456.1;;;0;B
140000000021;2014;UBERLANDIA;MG;33;F;1;2011;1;2;3;;;;;0;E
140000000022;2014;SANTA MARIA;RS;19;F;4;;;;3;355.6;536.9;495.2;474.6;500;B
140000000023;2014;VOLTA REDONDA;RJ;18;M;1;2013;1;1;1;;;;;0;B
140000000024;2014;GOIANIA;GO;39;F;4;;;;1;;;;;0;I
140000000025;2014;SALVADOR;BA;24;F;1;2008;1;1;3;;;;;0;F
140000000026;2014;RIO BRANCO;AC;20;F;1;2011;1;1;3;549.7;539.2;537.7;478.2;560;D
140000000027;2014;VALPARAISO DE GOIAS;GO;21;F;1;2011;1;1;1;482.9;635.9;576.2;457.1;600;E
140000000028;2014;JABOATAO DOS GUARARAPES;PE;25;F;1;2006;1;1;3;451.2;449.3;429.1;505.3;440;C
140000000029;2014;TERESINA;PI;26;F;1;2009;1;1;3;425.8;409.7;512.3;365.8;280;C
140000000030;2014;FORTALEZA;CE;22;F;4;;;;3;452.5;521.7;465.4;437.6;520;B
140000000031;2014;CABO FRIO;RJ;28;M;1;2004;1;1;2;441.8;593.8;;;0;H
140000000032;2014;BRASILIA;DF;40;M;1;2004;1;4;0;402.3;548;407.3;326.9;560;C
140000000033;2014;CASCAVEL;PR;20;F;4;;;;1;435.3;601;534.5;376.9;440;C
140000000034;2014;RIO CLARO;SP;19;F;1;2013;1;1;2;541.3;595.2;;;0;B
140000000035;2014;NOVO GAMA;GO;21;F;1;2010;1;1;3;471.6;568.6;572.1;602.6;440;F
140000000036;2014;BRASILIA;DF;21;F;1;2010;1;1;2;;;;;0;E
140000000037;2014;CAMARAGIBE;PE;17;M;2;;1;1;2;504.9;587.3;513;442.1;460;C
140000000038;2014;IMPERATRIZ;MA;18;F;1;2013;2;1;3;566.5;578.7;550.7;400.9;620;J
140000000039;2014;SANTA BARBARA D OESTE;SP;25;F;1;2006;1;1;1;569;632.7;570.1;492.6;880;G
140000000040;2014;RECIFE;PE;20;F;1;2012;2;1;1;;;;;0;H
140000000041;2014;BETIM;MG;23;M;1;2009;2;1;1;;;;;0;C
140000000042;2014;OSASCO;SP;26;M;1;2005;1;1;1;;;;;0;C
140000000043;2014;MACEIO;AL;37;M;1;2004;1;1;3;527.9;590.6;487.8;434.2;300;D
140000000044;2014;ILHEUS;BA;36;F;1;2004;1;2;3;;;;;0;A
140000000045;2014;GARANHUNS;PE;17;M;2;;1;1;3;484.7;554.3;518.7;405.2;480;B
140000000046;2014;MONTES CLAROS;MG;20;M;1;2011;1;1;3;;;;;0;E
140000000047;2014;ANANINDEUA;PA;23;M;1;2010;1;1;2;490.3;643.5;583.7;602.4;760;D
140000000048;2014;BELO HORIZONTE;MG;20;M;1;2012;1;1;1;464.5;594.8;520.4;610.9;420;F
140000000049;2014;JABOATAO DOS GUARARAPES;PE;20;F;1;2011;1;1;3;395;483.4;418.4;460.3;440;C
140000000050;2014;PETROPOLIS;RJ;28;F;1;2005;1;1;1;586;577.7;562.7;528.5;760;F
